Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (primary)	EC number
A0A087X1C5	reviewed	CP2D7_HUMAN	Cytochrome P450 2D7 (EC 1.14.14.1)	CYP2D7	Homo sapiens (Human)	515	CYP2D7	1.14.14.1
A0A1B0GTW7	reviewed	CIROP_HUMAN	Ciliated left-right organizer metallopeptidase (EC 3.4.24.-) (Leishmanolysin-like peptidase 2)	CIROP LMLN2	Homo sapiens (Human)	788	CIROP	3.4.24.-
A0AVI4	reviewed	TM129_HUMAN	E3 ubiquitin-protein ligase TM129 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TM129)	TMEM129	Homo sapiens (Human)	362	TMEM129	2.3.2.27
A0AVT1	reviewed	UBA6_HUMAN	Ubiquitin-like modifier-activating enzyme 6 (Ubiquitin-activating enzyme 6) (EC 6.2.1.45) (Monocyte protein 4) (MOP-4) (Ubiquitin-activating enzyme E1-like protein 2) (E1-L2)	UBA6 MOP4 UBE1L2	Homo sapiens (Human)	1052	UBA6	6.2.1.45
A1A4Y4	reviewed	IRGM_HUMAN	Immunity-related GTPase family M protein (EC 3.6.5.-) (Immunity-related GTPase family M protein 1) (Interferon-inducible protein 1) (LPS-stimulated RAW 264.7 macrophage protein 47 homolog) (LRG-47)	IRGM IFI1 IRGM1 LRG47	Homo sapiens (Human)	181	IRGM	3.6.5.-
A1KZ92	reviewed	PXDNL_HUMAN	Probable oxidoreductase PXDNL (EC 1.-.-.-) (Cardiac peroxidase) (Inactive peroxidasin-like protein) (Polysomal ribonuclease 1) (PRM1) (Vascular peroxidase 2)	PXDNL VPO2	Homo sapiens (Human)	1463	PXDNL	1.-.-.-
A1L0T0	reviewed	HACL2_HUMAN	2-hydroxyacyl-CoA lyase 2 (EC 4.1.2.-) (Acetolactate synthase-like protein) (IlvB-like protein)	ILVBL AHAS HACL2	Homo sapiens (Human)	632	ILVBL	4.1.2.-
A1L167	reviewed	U2QL1_HUMAN	Ubiquitin-conjugating enzyme E2Q-like protein 1 (EC 2.3.2.23) (E2Q-like ubiquitin-conjugating enzyme 1)	UBE2QL1	Homo sapiens (Human)	161	UBE2QL1	2.3.2.23
A1L3X0	reviewed	ELOV7_HUMAN	Very long chain fatty acid elongase 7 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL7) (ELOVL fatty acid elongase 7) (ELOVL FA elongase 7) (Elongation of very long chain fatty acids protein 7) (Very long chain 3-ketoacyl-CoA synthase 7) (Very long chain 3-oxoacyl-CoA synthase 7)	ELOVL7	Homo sapiens (Human)	281	ELOVL7	2.3.1.199
A1Z1Q3	reviewed	MACD2_HUMAN	ADP-ribose glycohydrolase MACROD2 (MACRO domain-containing protein 2) (O-acetyl-ADP-ribose deacetylase MACROD2) (EC 3.5.1.-) ([Protein ADP-ribosylaspartate] hydrolase MACROD2) (EC 3.2.2.-) ([Protein ADP-ribosylglutamate] hydrolase MACROD2) (EC 3.2.2.-)	MACROD2 C20orf133	Homo sapiens (Human)	425	MACROD2	3.2.2.-; 3.5.1.-
A2A288	reviewed	ZC12D_HUMAN	Probable ribonuclease ZC3H12D (EC 3.1.-.-) (MCP-induced protein 4) (Transformed follicular lymphoma) (Zinc finger CCCH domain-containing protein 12D) (p34)	ZC3H12D C6orf95 MCPIP4 TFL	Homo sapiens (Human)	527	ZC3H12D	3.1.-.-
A2PYH4	reviewed	HFM1_HUMAN	Probable ATP-dependent DNA helicase HFM1 (EC 5.6.2.4) (DNA 3'-5' helicase HFM1) (SEC63 domain-containing protein 1)	HFM1 SEC3D1	Homo sapiens (Human)	1435	HFM1	5.6.2.4
A2RTX5	reviewed	SYTC2_HUMAN	Threonine--tRNA ligase 2, cytoplasmic (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS) (Threonyl-tRNA synthetase protein 3)	TARS3 TARSL2	Homo sapiens (Human)	802	TARS3	6.1.1.3
A2RU49	reviewed	HYKK_HUMAN	Hydroxylysine kinase (5-hydroxy-L-lysine kinase) (EC 2.7.1.81) (Aminoglycoside phosphotransferase domain-containing protein 1)	HYKK AGPHD1	Homo sapiens (Human)	373	HYKK	2.7.1.81
A2RUC4	reviewed	TYW5_HUMAN	tRNA wybutosine-synthesizing protein 5 (hTYW5) (tRNA yW-synthesizing protein 5) (EC 1.14.11.42) (tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-C(2))-hydroxylase)	TYW5 C2orf60	Homo sapiens (Human)	315	TYW5	1.14.11.42
A4D126	reviewed	ISPD_HUMAN	D-ribitol-5-phosphate cytidylyltransferase (EC 2.7.7.40) (2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase-like protein) (Isoprenoid synthase domain-containing protein) (hISPD)	CRPPA ISPD	Homo sapiens (Human)	451	CRPPA	2.7.7.40
A4D256	reviewed	CC14C_HUMAN	Dual specificity protein phosphatase CDC14C (EC 3.1.3.16) (EC 3.1.3.48) (CDC14 cell division cycle 14 homolog C)	CDC14C CDC14B2 CDC14Bretro	Homo sapiens (Human)	447	CDC14C	3.1.3.16; 3.1.3.48
A4D2B0	reviewed	MBLC1_HUMAN	Metallo-beta-lactamase domain-containing protein 1 (EC 3.1.27.-) (Endoribonuclease MBLAC1)	MBLAC1	Homo sapiens (Human)	266	MBLAC1	3.1.27.-
A5LHX3	reviewed	PSB11_HUMAN	Proteasome subunit beta type-11 (EC 3.4.25.1) (Proteasome subunit beta-5t)	PSMB11	Homo sapiens (Human)	300	PSMB11	3.4.25.1
A5PLL7	reviewed	PEDS1_HUMAN	Plasmanylethanolamine desaturase 1 (EC 1.14.19.77) (Transmembrane protein 189)	PEDS1 KUA PEDS TMEM189	Homo sapiens (Human)	270	PEDS1	1.14.19.77
A5YM72	reviewed	CRNS1_HUMAN	Carnosine synthase 1 (EC 6.3.2.11) (ATP-grasp domain-containing protein 1)	CARNS1 ATPGD1 KIAA1394	Homo sapiens (Human)	827	CARNS1	6.3.2.11
A6NDG6	reviewed	PGP_HUMAN	Glycerol-3-phosphate phosphatase (G3PP) (EC 3.1.3.21) (Aspartate-based ubiquitous Mg(2+)-dependent phosphatase) (AUM) (EC 3.1.3.48) (Phosphoglycolate phosphatase) (PGP)	PGP	Homo sapiens (Human)	321	PGP	3.1.3.21; 3.1.3.48
