Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	EC number
A0A0H3KZS3	reviewed	D2HDH_PANAA	D-2-hydroxyglutarate dehydrogenase (D2HGDH) (EC 1.1.99.39)	ydiJ PAJ_1060	Pantoea ananatis (strain AJ13355)	1022	1.1.99.39
A6XMY0	reviewed	ARA1_HYAAR	Arasin 1 (Ara-1) (Proline-rich antimicrobial peptide) (PR-AMP) (Pro-rich AMP)		Hyas araneus (Atlantic lyre crab) (Great spider crab)	64	
D9PVP5	reviewed	FNO_METTM	F420-dependent NADP reductase (EC 1.5.1.40) (F420H2:NADP oxidoreductase)	fno MTBMA_c06980	Methanothermobacter marburgensis (strain ATCC BAA-927 / DSM 2133 / JCM 14651 / NBRC 100331 / OCM 82 / Marburg) (Methanobacterium thermoautotrophicum)	224	1.5.1.40
G3ECR1	reviewed	CAS9_STRTR	CRISPR-associated endonuclease Cas9 (EC 3.1.-.-) (St-Cas9)	cas9 csn1	Streptococcus thermophilus	1409	3.1.-.-
J7QLC0	reviewed	CYAA_BORP1	Bifunctional hemolysin/adenylate cyclase (AC-HLY) (ACT) (Cyclolysin) [Cleaved into: Calmodulin-sensitive adenylate cyclase (EC 4.6.1.1) (ATP pyrophosphate-lyase) (Adenylyl cyclase); Hemolysin]	cya cyaA BN118_0468	Bordetella pertussis (strain ATCC 9797 / DSM 5571 / CCUG 30873 / LMG 14455 / NCTC 10739 / 18323)	1706	4.6.1.1
O34344	reviewed	SDPC_BACSU	Sporulation delaying protein C (SdpC) (Cannibalism toxin SDP) (Killing factor SdpC) (Toxic peptide SdpC) [Cleaved into: Sporulation delaying protein (SDP)]	sdpC yvaY BSU33770	Bacillus subtilis (strain 168)	203	
P00646	reviewed	CEA3_ECOLX	Colicin E3 (EC 4.6.1.-) (Colicin E3 A chain) (colE3) (Ribonuclease)	ceaC col	Escherichia coli	551	4.6.1.-
P01241	reviewed	SOMA_HUMAN	Somatotropin (Growth hormone) (GH) (GH-N) (Growth hormone 1) (Pituitary growth hormone)	GH1	Homo sapiens (Human)	217	
P02748	reviewed	CO9_HUMAN	Complement component C9 [Cleaved into: Complement component C9a; Complement component C9b]	C9	Homo sapiens (Human)	559	
P03726	reviewed	EXLYS_BPT7	Peptidoglycan transglycosylase gp16 (EC 4.2.2.n1) (Internal core protein gp16)	16	Escherichia phage T7 (Bacteriophage T7)	1318	4.2.2.n1
P04385	reviewed	GAL1_YEAST	Galactokinase (EC 2.7.1.6) (Galactose kinase)	GAL1 YBR020W YBR0302	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	528	2.7.1.6
P04406	reviewed	G3P_HUMAN	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)	GAPDH GAPD CDABP0047 OK/SW-cl.12	Homo sapiens (Human)	335	1.2.1.12; 2.6.99.-
P05414	reviewed	GOX_SPIOL	Glycolate oxidase (GAO) (GOX) (EC 1.1.3.15) (Short chain alpha-hydroxy acid oxidase)		Spinacia oleracea (Spinach)	369	1.1.3.15
